"ConflictId","Year","GWNoA","Incompatibility","n_rebels","n_conflicts","maxint","new.joiner","new.alliance","new.splinter","latentmean","mtnest","oil.fearon","oil.pc.exports","oilpc","ethfrac","relfrac","country_ethnic","country_excluded","pop","area","rgdppc","polity2","mediation","external_supporters","lootable","tot.resource.sites","BdBest","existing.support","cont_civil","new.multi.alliance","new.mono.alliance","latentmean_lag","latentmean_lag2","lagged_rebels","oilpc_lag","oil.pc.exports_lag","lag_conflicts","latentmean_diff","lgdp","lpop","larea","yearf","new_conflict","multireb","postcw","conflictfe"
"1-248",2008,"800","territory",1,1,1,0,0,0,-0.75087838864893,NA,NA,6.41184581388115,8142.84354301564,NA,NA,5,4,68267.98,510890,7875.08,4,0,0,1,31,130,0,2,0,0,-0.909487884643897,-0.986883539915698,1,5274.64932789648,4.26831033136138,1,0.077395655271801,8.97145862237239,11.1311961215756,13.1439095818253,"2008",0,0,1,"1-248"
"1-248",2009,"800","territory",1,1,1,0,0,0,-0.646340329195334,NA,NA,5.24880484746068,3910.6689820913,NA,NA,5,4,68706.12,510890,7453.56,4,0,0,1,31,138,0,3,0,0,-0.75087838864893,-0.909487884643897,1,8142.84354301564,6.41184581388115,1,0.158609495994967,8.91644704958752,11.1375935572122,13.1439095818253,"2009",0,0,1,"1-248"
"1-248",2010,"800","territory",1,1,1,0,0,0,-0.815061812481832,NA,NA,4.83652062395281,6634.88501506002,NA,NA,5,4,69122.23,510890,8194.5,4,0,0,1,31,75,0,2,0,0,-0.646340329195334,-0.75087838864893,1,3910.6689820913,5.24880484746068,1,0.104538059453596,9.01121847650388,11.143631665689,13.1439095818253,"2010",0,0,1,"1-248"
"1-248",2011,"800","territory",1,1,1,0,0,0,-0.739206388801602,NA,NA,5.39803483719702,9253.31248462509,NA,NA,5,4,69518.56,510890,8200.11,7,0,0,1,31,142,0,3,0,0,-0.815061812481832,-0.646340329195334,1,6634.88501506002,4.83652062395281,1,-0.168721483286498,9.01190284779651,11.149349046261,13.1439095818253,"2011",0,0,1,"1-248"
"1-248",2012,"800","territory",1,1,1,0,0,0,-0.650313341386262,NA,NA,6.16063955795477,9302.67868014653,NA,NA,5,4,NA,510890,NA,7,0,0,1,31,131,0,1,0,0,-0.739206388801602,-0.815061812481832,1,9253.31248462509,5.39803483719702,1,0.0758554236802299,NA,NA,13.1439095818253,"2012",0,0,1,"1-248"
"1-248",2013,"800","territory",1,1,1,0,0,0,-0.51641586303546,NA,NA,5.96130454498534,8240.17980336335,NA,NA,5,4,NA,510890,NA,7,0,0,1,31,189,0,5,0,0,-0.650313341386262,-0.739206388801602,1,9302.67868014653,6.16063955795477,1,0.0888930474153401,NA,NA,13.1439095818253,"2013",0,0,1,"1-248"
"1-248",2014,"800","territory",1,1,1,0,0,0,NA,NA,NA,4.80076625160013,6805.28436210513,NA,NA,NA,NA,NA,510890,NA,-3,0,0,1,31,68,0,3,0,0,-0.51641586303546,-0.650313341386262,1,8240.17980336335,5.96130454498534,1,0.133897478350802,NA,NA,13.1439095818253,"2014",0,0,1,"1-248"
"1-248",2015,"800","territory",1,1,1,0,0,0,NA,NA,NA,3.56910457019258,2378.46798717244,NA,NA,NA,NA,NA,510890,NA,-3,0,0,1,31,53,0,4,0,0,NA,-0.51641586303546,1,6805.28436210513,4.80076625160013,1,NA,NA,NA,13.1439095818253,"2015",0,0,1,"1-248"
"1-249",2004,"475","territory",1,1,1,0,0,0,-1.30970400846044,NA,NA,NA,16037.5850032904,NA,NA,6,3,136399.44,910770,1283.94,4,1,0,1,47,61,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,7.15768875418611,11.8233429188112,13.7220456745528,"2004",NA,NA,1,"1-249"
"1-25",1948,"775","territory",2,1,1,0,0,0,NA,35.6000022888184,0,NA,NA,0.475504875183105,0.204200029373169,12,9,NA,NA,NA,8,0,NA,1,76,NA,NA,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1948",NA,NA,0,"1-25"
"1-25",1949,"775","territory",2,1,1,0,0,0,-1.45195142822629,35.6000022888184,0,NA,NA,0.475504875183105,0.204200029373169,12,9,NA,NA,NA,8,0,NA,1,76,NA,NA,2,0,0,NA,NA,2,NA,NA,1,NA,NA,NA,NA,"1949",0,1,0,"1-25"
"1-25",1950,"775","territory",2,1,1,0,0,0,-1.47642107940234,35.6000022888184,0,NA,NA,0.475504875183105,0.204200029373169,12,9,18380,NA,369.96,8,0,NA,1,76,NA,NA,2,0,0,-1.45195142822629,NA,2,NA,NA,1,NA,5.91339489168606,9.81901839590968,NA,"1950",0,1,0,"1-25"
"1-25",1951,"775","territory",2,1,1,0,0,0,-1.49873853770496,35.6000022888184,0,NA,NA,0.475504875183105,0.204200029373169,12,9,18737,NA,379.7,8,0,NA,1,76,NA,NA,2,0,0,-1.47642107940234,-1.45195142822629,2,NA,NA,1,-0.02446965117605,5.93938146723776,9.83825545759851,NA,"1951",0,1,0,"1-25"
"1-25",1952,"775","territory",2,1,1,0,0,0,-1.52653572841816,35.6000022888184,0,NA,NA,0.475504875183105,0.204200029373169,12,9,19094,NA,412.15,8,0,NA,1,76,NA,NA,0,0,0,-1.49873853770496,-1.47642107940234,2,NA,NA,1,-0.02231745830262,6.02138736075924,9.85712942855798,NA,"1952",0,1,0,"1-25"
